# TIER 2 — every factual assertion in the clause-5 surface that carries NEITHER a citation
# NOR a hedge, enumerated. UNEVIDENCED, never FALSE: many of these are certainly true.
# Scope of both citation and hedge is the containing BLOCK, so this is a FLOOR.
# columns: path:line-range <TAB> block-kind <TAB> sentence
corpus/services/ai-labs.md:48-51	bullet	`catalog.Manager` (slug catalog domain) + `ContentManager` (viewer-facing, **fail-closed** tenant-filtered reads; `ErrNotFound` is a hard-404 no-existence-oracle), `content_import.go` (idempotent manifest upsert), `s3_workspace_store.go` (S3-backed workspace/grader/solution assets — the solution is private, never served to learners).
corpus/services/ai-labs.md:52-55	bullet	**Tables**: `labs` (Ent `lab.go` — metadata: `slug`, `tenant_eid` nullable = org-scoped else public, `lifecycle`, `base_image`, `default_model`, `budget_usd`, S3 asset refs) and `lab_bodies` (Ent `lab_body.go` — one row per `(lab_slug, locale)`; EN base + 6 overlays; `{meta,brief,tutor,hints}` as one jsonb).
corpus/services/ai-labs.md:52-55	bullet	Migration `20260617203555_add_labs_catalog.sql`.
corpus/services/ai-labs.md:58-64	bullet	`labsession.Server` implements the `lab.v1.LabSessionService` Connect-RPC (Create/Get/List/Cancel/ReportEvent); `Manager` holds the business logic the GraphQL resolvers call directly.
corpus/services/ai-labs.md:58-64	bullet	`labs_budget.go` is the **cap/tier engine**: `LabsTier` (`essential`/`professional`/`frontier`) → `modelsForTier`, `LabsBudgetOptions` stored as JSON on `OrganizationSettings.Options[labs_budget]`, `CheckRequest` → typed `CapError{Reason}` (`model_not_in_tier`, `per_session_cap`, `org_total`, `user_monthly`, `user_lifetime`) → Connect `ResourceExhausted`.
corpus/services/ai-labs.md:58-64	bullet	`spend_reconciler.go` is a **30 s pull loop** that denormalizes `spend_usd`/`total_tokens`/`status` from labs-api into `lab_sessions` rows (+ an orphan-fail-out pass).
corpus/services/ai-labs.md:67-70	bullet	**Table**: `lab_sessions` (Ent `lab_session.go`) — deliberately **no `PrimaryKeyMixin`**: `id` is a **String** supplied by labs-api.
corpus/services/ai-labs.md:67-70	bullet	`user_id`, nullable `organization_id`, frozen `template` (= `Lab.slug`), `model`, `mode`, `status` (booting/ready/grading/stopped/failed/cancelled), immutable `budget_usd`, denormalized `spend_usd`/ `total_tokens`, `grade_result` jsonb.
corpus/services/ai-labs.md:67-70	bullet	Migrations `20260529072659`, `20260617120000`.
corpus/services/ai-labs.md:73-76	bullet	`credits.Manager`: `Balance` (lazy-seeds `organization_credits` at `DefaultSeedBalance=500` on first read), `Debit` (atomic conditional decrement + negative ledger row; `InsufficientCreditsError` → **HTTP 402**), `Refund` (positive row, **idempotent on `ref_id`**), `Purchase`, `Transactions` — every mutation in one `ent.WithTx` under `privacy.Allow`.
corpus/services/ai-labs.md:77-81	bullet	`cost.go` — the cost model: `creditCost` map (`course.build`=**5/chapter**, `course.refine`=**1**, `course.translate`=**1/locale**), `purchasePackages` (starter 50 / team 200 / scale 500), `PricePerCreditUSD` = **$0.45** (derived from Bedrock COGS × `MarginMarkup` **1.40**).
corpus/services/ai-labs.md:77-81	bullet	`reconcile.go` — `ReconcileOrphanedBuilds` (refunds crashed pre-terminal Course Builder builds, idempotent) + `ReconcileOrg`/`MarginAlert` (internal per-org realized-margin; never served on customer routes).
corpus/services/ai-labs.md:82-85	bullet	**Tables**: `organization_credits` (Ent `organization_credit.go` — per-org `balance`, UNIQUE on `organization_id` = the one-purse-per-org invariant) and `credit_transactions` (Ent `credit_transaction.go` — append-only: `action_type`, signed `credits_delta`, `ref_id`, `meta`; a **partial-unique** `(organization_id, action_type, ref_id) WHERE ref_id IS NOT NULL` = the idempotency guard).
corpus/services/ai-labs.md:88-94	bullet	`payments.Manager` (`stripe-go/v74`): `CreateCustomer`, `CreateCustomerCheckoutSession` (**subscription mode**, price by `lookup_key`, 7-day trial), portal session, `ParseEvent` (webhook signature via `STRIPE_ENDPOINT_SECRET`), `HandleStripeSubscriptionEvent` (upserts user `subscriptions`), `emitMetaPurchase` (Meta Conversions API).
corpus/services/ai-labs.md:88-94	bullet	`subscription_verifier.go` implements `organization.StripeSubscriptionVerifier` so **org seat licensing derives seats from the real Stripe quantity**, not client input.
corpus/services/ai-labs.md:88-94	bullet	`subscriptions.SubscriptionManager` handles user premium subs + **feature-usage quotas** (cover-letters / job-applications / job-simulations) via Sentinel.
corpus/services/ai-labs.md:95-96	bullet	**Tables**: `subscriptions` (user-scoped), `stripe_customers`, `org_subscriptions` (org seat licensing: `licenses`/seats, `source` = stripe|manual, Stripe ids, period).
corpus/services/ai-labs.md:95-96	bullet	Migration `20260626120000_add_org_subscriptions.sql`.
corpus/services/ai-labs.md:125-127	bullet	**Prerequisites**: runs **as part of `app`** (`go run .` / Docker).
corpus/services/ai-labs.md:125-127	bullet	Labs wire up only when `LABS_API_URL` is set (else the labs-api client is nil → in-memory idgen, reconciler no-op); credits seed lazily; payments need Stripe keys.
corpus/services/ai-labs.md:128-130	bullet	**Key env vars**: labs — `LABS_API_URL`, `LABS_API_PLATFORM_TOKEN`, `LABS_WORKSPACE_BUCKET`, `LABS_WORKSPACE_PREFIX`, `AWS_REGION`; Stripe — `STRIPE_SECRET_KEY`, `STRIPE_ENDPOINT_SECRET`; Meta — `META_PIXEL_ID`, `META_CONVERSION_API_TOKEN` (self-disables when unset).
corpus/services/ai-labs.md:134-135	bullet	**Dedicated cmds**: `cmd/labsimport` (idempotent catalog manifest loader), `cmd/labskey` (mint an org API key for `labs:write`), `cmd/labsdemo` (standalone local Labs-catalog server on `:8099`, in-memory store, dev only).
corpus/services/ai-labs.md:138-138	bullet	**Service Name**: none of its own — part of the `backend` service (`docker compose up -d backend`).
corpus/services/ai-labs.md:146-149	bullet	**Credits**: `cost_test.go` (`TestPricingDerivation` guards the $0.45/40 % derivation), `manager_test.go` (Balance/Debit/Refund/Purchase + concurrency + lazy-seed), `privacy_backstop_test.go` (`TestPrivacyBackstop_AutoScopesToCallerOrg` — proves the `OrganizationMixin` fences cross-org reads), `reconcile_orphan_test.go`.
corpus/services/ai-labs.md:150-151	bullet	**Subscriptions**: `subscriptions_test.go`.
corpus/services/ai-readiness.md:3-11	paragraph	**Package-refactor refresh 2026-07-23 (v2.7 "july jitter" M247)** — see the ⚠️ callout below: the domain moved out of `app/internal/workforce/` into its own **`app/internal/aireadiness/`** package (app `v1.351.1`), the archetype **scoring bands changed**, and several net-new subsystems landed (notifications, email overrides, one-click provisioning, auto-close, a recommendation engine).
corpus/services/ai-readiness.md:3-11	paragraph	The feature ships in **`app` v1.315+** (backend) + **`next-web-app` v2.89.0+** (UI).
corpus/services/ai-readiness.md:74-79	paragraph	It is a subsystem of the **`app` (backend) service** — its own package **`app/internal/aireadiness/`** (split out of `internal/workforce/`; see the ⚠️ package-refactor callout above) — not a standalone microservice.
corpus/services/ai-readiness.md:83-84	paragraph	The feature is off until an org turns it on. Two gates exist — but **they do not both apply to every surface**, and assuming they do sends you hunting for a PostHog problem the manager dashboard does not have:
corpus/services/ai-readiness.md:175-175	table-row	| 1 | `skill_mapping`    | self-map AI skills (framework modal) | **30** | ≥1 `user_skill_evidences` row for a skill node_id in the org's `ai_readiness_skills` set (presence-based; level ignored) |
corpus/services/ai-readiness.md:176-176	table-row	| 2 | `simulation`       | a job-simulation session | **40** | best ended/scored jobsim session whose sim_id ∈ `ai_readiness_sims` (`step_type='simulation'`); `(raw_score/100)×40` |
corpus/services/ai-readiness.md:177-177	table-row	| 3 | `interview`        | an interview (a sim, different config) | **30** | best ended/scored session whose sim_id ∈ `ai_readiness_sims` (`step_type='interview'`); `(raw_score/100)×30` |
corpus/services/ai-readiness.md:188-192	paragraph	The Step-2 sim resolves per-user by track (`resolveUserTrack`, business-wins); the interview (Step-3) is shared across tracks (`track = "both"`).
corpus/services/ai-readiness.md:188-192	paragraph	`defaultReadinessSims` is 3 entries: `{simulation, "tech", …}`, `{simulation, "business", …}`, `{interview, "both", …}`.
corpus/services/ai-readiness.md:188-192	paragraph	Cycles also gained a `launched_by`.
corpus/services/ai-readiness.md:194-197	paragraph	Per-step status lives in `ai_readiness_user_step_progresses` (`not_started`/`in_progress`/`completed`, `completed_at` set once, never re-updated).
corpus/services/ai-readiness.md:201-201	paragraph	All tables live in `app` (`public` schema); ent schemas under `app/internal/data/ent/schema/`:
corpus/services/ai-readiness.md:205-205	table-row	| `ai_readiness_cycles` | a diagnostic cycle per org | `status: active\|closed`, `start/end_date`, `final_score`, `closed_at`; **one active cycle per org** (partial unique index) |
corpus/services/ai-readiness.md:206-206	table-row	| `ai_readiness_steps` | org's ordered 3-step plan | `step_type`, `position`; default = all 3 canonical if no rows |
corpus/services/ai-readiness.md:207-207	table-row	| `ai_readiness_skills` | org's AI-skill set | `node_id` (taxonomy), `weight` (1.0 core / 0.5 enabling) — Step 1 scoring |
corpus/services/ai-readiness.md:208-208	table-row	| `ai_readiness_sims` | org's sim registry | `step_type` (simulation/interview), `sim_ref` (Directus sim id or `PLACEHOLDER-{slug}`) — Steps 2/3 |
corpus/services/ai-readiness.md:209-209	table-row	| `ai_readiness_user_step_progresses` | per-(org,user,step) progress (**plural** — the ent-generated table name; M219) | `status`, `completed_at` |
corpus/services/ai-readiness.md:210-210	table-row	| `ai_readiness_live_snapshots` | **live** per-member score (mutable, upserted) | `score/knowledge/usage/archetype/stage/...`; exposed to Talk-to-Data SQL |
corpus/services/ai-readiness.md:211-211	table-row	| `ai_readiness_snapshots` | **frozen** per-(cycle,user) snapshot at close (immutable) | `frozen_*` mirror of live |
corpus/services/ai-readiness.md:212-212	table-row	| `ai_readiness_diagnose_narratives` | persisted per-member LLM narrative | keyed `(org,user,cycle_ref,lang)` + `signals_hash` |
corpus/services/ai-readiness.md:213-213	table-row	| `ai_readiness_text_translations` | content-addressed translation cache | `source_hash`+`lang` |
corpus/services/ai-readiness.md:214-214	table-row	| `ai_readiness_recommendations` | per-member recommended actions (the What-to-do-next drawer's "Recommended actions") | **was missing from this doc until M219**; the demo seeds **0 rows** — the live read derives `people[].diagnosis.recommendations` instead |
corpus/services/ai-readiness.md:215-215	table-row	| `ai_readiness_email_overrides` (**net-new, M408**) | per-org email-copy override | one row per `(organization, email_type)`; `OrganizationMixin`-scoped; backs the workforce-admin email PUT/GET/DELETE + the preview renderer |
corpus/services/ai-readiness.md:216-216	table-row	| `ai_readiness_notification_logs` (**net-new, M400**; plural — the ent-generated table name) | notification send log | the invitation/reminder/launch/digest lifecycle audit |
corpus/services/ai-readiness.md:217-217	table-row	| `ai_readiness_notification_optouts` (**net-new, M400/M403**; plural — the ent-generated table name) | per-member unsubscribe | the reminder-cadence opt-out |
corpus/services/ai-readiness.md:218-218	table-row	| `organization_settings` (existing) | the enablement gate | `setting='ai_readiness'`, `is_enabled` |
corpus/services/ai-readiness.md:219-219	table-row	| **`public.interview_aggregated_reports`** | **the org's Step-3 interview AGGREGATE — the SOLE source of all four "AI Interview — breakdown" blocks** | `(organization_id, sim_id, report JSONB, session_count)`.
corpus/services/ai-readiness.md:237-237	table-row	| `catalog_kpis[]` `{id, value}` | **"How they use AI — at a glance"** (5 tiles) | ids `avg_adoption` / `avg_transformation` / `avg_originality` / `avg_depth` / `avg_ownership` (Adoption / Transformation / Originality / Depth·Creation / Critical ownership), each a **0-100 cohort average** (the M219 ids `avg_frequency` / `avg_breadth` / `avg_context_fit` were retired in the post-M246 platform rename — see *part 5* of § *The FILLED-ness contract* below).
corpus/services/ai-readiness.md:237-237	table-row	`usageDimensionsFromReports` **omits** any KPI that is absent or non-numeric — **omitting all of them is why the tile row did not render at all**, rather than rendering empty. |
corpus/services/ai-readiness.md:238-238	table-row	| `narrative.patterns[]` | **Strengths** | `evidence[0]` **IS** the rendered verbatim quote; `source_session_id` is what `resolveSessionAuthors` joins (`sessions → memberships`) to hydrate the quote's **author name + job role**. |
corpus/services/ai-readiness.md:239-239	table-row	| `narrative.unexpected[]` | **Unexpected angles** | **NO chart fallback exists** — the narrative is the only way this column can *ever* render. |
corpus/services/ai-readiness.md:240-240	table-row	| `narrative.insights[]` where `category` contains **`"risk"`** | **What holds them back** | The category string is **load-bearing**: `holdsBackFromInsights` filters on it. Get it wrong and the column silently empties again. |
corpus/services/ai-readiness.md:241-241	table-row	| `catalog_charts[]` `top_concerns` / `top_unexpected` | the **no-narrative fallbacks** | Back What-holds-them-back / Strengths when the LLM narrative is absent.
corpus/services/ai-readiness.md:246-248	bullet	every `source_session_id` / `session_ids` entry is a **REAL seeded Step-3 session id**, so quote attribution resolves to a **real seeded member** through the platform's own join — never a fabricated id, never a quote from nobody;
corpus/services/ai-readiness.md:256-256	bullet	`session_count` is the true number of seeded interviews;
corpus/services/ai-readiness.md:259-262	paragraph	The narrative prose itself is **code-owned demo copy** (like `aiReadinessInterviewPrompts`) — what a real aggregation LLM would have synthesised.
corpus/services/ai-readiness.md:259-262	paragraph	Fenced by `ai_readiness_interview_report_test.go`, which decodes the seeded row **through the platform's own contract** (transcribed structs), because *"the seeder wrote a row"* is not the proposition that matters — *"the row makes the four blocks render"* is.
corpus/services/ai-readiness.md:275-279	bullet	**REST/workforce API** (`app/internal/web/backend/api/`): `GET /api/workforce/ai-readiness` (→ the `AIReadinessResponse` aggregate the manager dashboard consumes), `/cycles` (GET/POST) **+ `/cycles/{cycleID}` (GET) + `/cycles/{cycleID}/close` (POST)**, `/steps-completion`, `/narrative` (POST, LLM diagnosis), `/compare`, `/export.csv`, and **net-new at the M247-refresh refactor: `/setup` (GET status + POST one-click provision)** plus the **M407/M408 email-preview + email-override admin** endpoints.
corpus/services/ai-readiness.md:280-281	bullet	**Background:** live-snapshot refresh (`RefreshLiveSnapshots`, worker task) **+ the net-new auto-close scheduler `CloseDueAIReadinessCycles`** (sweeps active cycles past `end_date`) + the notification workers (reminder/digest).
corpus/services/ai-readiness.md:285-286	paragraph	The refactor did more than move files — it consolidated several net-new platform subsystems that had **no prior corpus coverage**.
corpus/services/ai-readiness.md:285-286	paragraph	Documented here as platform facts; the demo-seeder consequences are v2.7 **M250** work.
corpus/services/ai-readiness.md:316-317	bullet	**The auto-close scheduler** — `CloseDueAIReadinessCycles` sweeps active cycles past `end_date` (cross-org under `privacy.Allow`).
corpus/services/ai-readiness.md:339-339	table-row	| **Manager** | **`AIReadinessClient`** — HeroCard (org score + dominant archetype + **Steps-Completion %**) + tabs **Snapshot** (archetype matrix + donuts + by-tag), **How-we-measure** (3-step ribbon + skill strengths/gaps + sims + **interview findings**), **What-to-do-next** (archetype action groups + per-person **Diagnose** drawer).
corpus/services/ai-readiness.md:341-341	table-row	| **Employee** | `AIReadinessHero` (the 3-step funnel; modes new/progress/done/archived) + `AIReadinessRailCard`.
corpus/services/ai-readiness.md:367-368	bullet	The `(new)` in the legacy path is a Next.js **route group** for the workforce refactor — *not* a version marker.
corpus/services/ai-readiness.md:396-400	paragraph	Enable for an org by inserting the `organization_settings` row (`setting='ai_readiness', is_enabled=true`) + `flag_ai_readiness` on in PostHog (or the local flag shim).
corpus/services/ai-readiness.md:396-400	paragraph	The member flow then needs `ai_readiness_skills` + `ai_readiness_sims` config + an active cycle; the dashboard reads `GET /api/workforce/ai-readiness`.
corpus/services/ai-readiness.md:396-400	paragraph	Tests: `app/internal/aireadiness/*_test.go` (the scoring/steps/cycle suites moved with the package; Postgres harness `testdb_test.go` via `internal/testsupport/pgtest`).
corpus/services/ai-readiness.md:404-407	paragraph	To make a **200-person demo org** show the AI-readiness manager dashboard **enabled**, with **78.4% (≈156 of the 199 frozen snapshots) having completed all 3 steps** (the shipped figure — see `seeding-spec.md`; this supersedes the earlier round "~80%/≈160" contract prose), plus **one hero "started"** and **one hero "completed"** — the seeder writes:
corpus/services/ai-readiness.md:410-410	bullet	`organization_settings` (`setting='ai_readiness'`, `is_enabled=true`) — the gate.
corpus/services/ai-readiness.md:411-411	bullet	`ai_readiness_steps` × 3 (skill_mapping/simulation/interview, positions 0/1/2) — optional (canonical default if absent).
corpus/services/ai-readiness.md:417-426	bullet	`ai_readiness_sims` × **3 track-keyed** (M250; was 2) — **two distinct-track simulations** (tech=`who-can-see-this-document-fc0`, business=`use-ai-to-turn-survey-data-into-a-leadership-email`) **+ one shared interview** (`ai-readiness-interview-d62`), each pinned to the platform's real default sim uuid, with the `track` column WRITTEN (the schema's `UNIQUE(org, step_type, track)` requires the tech+business pair — both `step_type=simulation` — to carry DISTINCT tracks).
corpus/services/ai-readiness.md:417-426	bullet	**Plus a net-new Directus set-dress** (`AIReadinessSimSkillsSeeder`) that resolves each wired sim's `directus.sequences.evaluation_skills` node-ids → `public.skills.name` and UPDATEs `directus.simulations.skills` for the 3 uuids — this is what fills step-2's **evaluated-skills list** and drives the tech/business label **name-heuristic** (`directus.simulations.skills` is genuinely NULL in capture, so replay alone leaves it empty — snapshot replay is replay-only, hence a net-new write step).
corpus/services/ai-readiness.md:435-438	paragraph	**Per-member (≈156 of 199 "completed"):** the underlying signals (≥1 `user_skill_evidences` for a configured skill; jobsim sessions for steps 2/3) **+** `ai_readiness_user_step_progresses` (3× `completed`) **+** an `ai_readiness_live_snapshots` upsert (`score≈100, stage=3, archetype` per the score).
corpus/services/ai-readiness.md:440-445	paragraph	**⚠️ A hero's stage is DERIVED FROM HER PERSONA KIND — and stage 0 was UNREACHABLE for an end-user until v2.8 M256 iter-26.** `aiReadinessStageFor` maps a hero: **manager → 0** (she reads the dashboard, she is not a funnel row), **struggling → 1**, and **everything else → 3**.
corpus/services/ai-readiness.md:447-450	bullet	**`Persona.AIReadiness`** — `""` (derive from trajectory, unchanged) | **`"not_started"`** (funnel **stage 0**: no evidence, no sessions, no progress row, no snapshot — `seedAIReadinessOrgFunnel` skips her entirely).
corpus/services/ai-readiness.md:456-457	bullet	An end-user hero must still declare `verified > 0` (`blueprint.validate()`), which is the same point from the other side: the field does not make a hero **blank**, it makes her **not-yet-diagnosed**.
corpus/services/ai-readiness.md:512-512	bullet	**cycle-scoped** — `opts.CycleID != nil` AND that cycle's `status == "closed"` (`:290-297`);
corpus/services/ai-readiness.md:513-514	bullet	**default (`CycleID == nil`)** — when the org has **no active cycle** and a **latest closed cycle** exists (`:307-312`).
corpus/services/ai-readiness.md:513-514	bullet	Only an org with neither falls through to `buildLiveResponse` (`:314`).
corpus/services/ai-readiness.md:579-579	table-row	| the **STARTED** hero | 1 / 3 | `progress` | **NOTHING.** `AIReadinessHero.tsx:88` `if (!air.deadline) return null;` |
corpus/services/ai-readiness.md:581-584	paragraph	The active cycle's `end_date` **must be in the future** (it *is* the member deadline) and its `participants_filter` must stay `{"all":true}` (a tag-scoped cycle returns a nil deadline for anyone outside the tags, silently re-hiding the surface for most of the org).
corpus/services/ai-readiness.md:589-592	paragraph	**What the manager then reads — and why that is the point.** With an active cycle present, `AIReadinessClient`'s `activeCycle?.id ?? latestClosedCycle?.id` resolves the **active** id, so the dashboard takes `buildLiveResponse`.
corpus/services/ai-readiness.md:596-596	table-row	| `howWeMeasure.interview` — **null** → present | the whole **Step-3** block + **"How they use AI"** + **"What holds them back"** + **"Strengths"** + **"Unexpected angles"** |
corpus/services/ai-readiness.md:600-602	paragraph	**Reported, not gated** — the milestone that owns login speed is a different one. Both paths fill `org.*`, `byTeam` (13), `people` (199), `howWeMeasure.{steps,skillInsights,simulations,cycleTotals}`.
corpus/services/ai-readiness.md:619-621	paragraph	**Full marks require holding EVERY configured skill.** The denominator is the whole repertoire, by design — "a larger configured set makes a full score harder to reach" (the platform's own comment).
corpus/services/ai-readiness.md:634-643	paragraph	**2. The readiness sims must be RESERVED — or an unrelated session silently scores a member.** The platform scores Steps 2/3 from **any** ended session whose `sim_id` is in the org's `ai_readiness_sims` set. It does **not** consult the step-progress row. The generic session seeders hash their `sim_id` out of the *same* ~50-id replayed content pool the readiness config draws from — so a member's **unrelated activity session** could land on the readiness sim by coincidence and score them against a step they never took.
corpus/services/ai-readiness.md:634-643	paragraph	That is exactly what happened to the STARTED hero: his funnel row said `interview: not_started` while the backend read an interview signal (score 21) off a stray activity session.
corpus/services/ai-readiness.md:634-643	paragraph	The two readiness refs now come from a **reserved tail** of the sims pool that no general picker can draw (`contentref.go`), making the sets **provably disjoint**.
corpus/services/ai-readiness.md:669-674	paragraph	**Also (a latent hazard closed while scaling #1):** the funnel's Step-1 evidence UPSERT is now **presence-preserving** — on a conflict with a row the verified-skill chain already wrote it asserts only that the row exists and is verified, and leaves `level` / `anthropos_level` / `user_level` alone.
corpus/services/ai-readiness.md:669-674	paragraph	Step 1 is presence-based (`queryUserAISkills` selects only `user_id, skill_id, is_verified`), so preserving is both correct and safer: with a member now mapping up to **31** skills (M250), the old clobbering upsert would have let the readiness seeder quietly restate a hero's claimed-vs-verified gap.
corpus/services/ai-readiness.md:676-686	paragraph	A net-new `ai_readiness_evidence.go` seeder distributes each completed member's sim **evaluated** node-ids as: one `validation_attempt_results` + one `validation_attempt_skill_results` per evaluated node-id (the score `computePerformanceBySkill` reads for the manager's dot ratings) + one **session-backed verified** `user_skill_evidences` per node-id (the profile's verified skill).
corpus/services/ai-readiness.md:676-686	paragraph	The evaluated node-ids are read **closure-safe** from `directus.sequences.evaluation_skills` JOINed to `public.skills` (unresolved ids drop, never fabricated — the same truthful source as the set-dress).
corpus/services/ai-readiness.md:676-686	paragraph	On a cold reset-to-seed this moved AI-sim `validation_attempt_results` **5 → 345** (+ 897 `validation_attempt_skill_results`, 787 session-backed verified evidences), flipping both the member-profile verified-skill distribution AND the manager per-skill dots to render real.
corpus/services/ai-readiness.md:688-696	paragraph	**5. Interview-findings must key on the CURRENT KPI ids (M250 iter-07).** The manager's "interview findings" tiles key on the platform's live `usageDimSpecs` — **avg_adoption / avg_transformation / avg_originality / avg_depth / avg_ownership** (Adoption / Transformation / Originality / Depth·Creation / Critical ownership).
corpus/services/ai-readiness.md:688-696	paragraph	The M219 seeder wrote the now-retired ids `avg_frequency / avg_breadth / avg_context_fit`; only `avg_depth` survived the post-M246 platform rename, so 4 of 5 tiles rendered empty.
corpus/services/ant-academy.md:5-5	paragraph	It delivers micro-chapters on AI engineering, Claude Code, agent frameworks, and related topics to anyone with an `@anthropos.work` email.
corpus/services/ant-academy.md:9-9	bullet	A companion **iOS / Android app** (Expo / React Native) that bundles the same content for offline reading
corpus/services/ant-academy.md:21-21	table-row	| **Technology Stack** | Next.js 16 App Router + React 19.2 (React Compiler enabled), Expo / React Native (mobile) |
corpus/services/ant-academy.md:22-22	table-row	| **Deployment** | **Vercel native** (no Docker, no docker-compose entry).
corpus/services/ant-academy.md:22-22	table-row	Mobile builds via Expo. |
corpus/services/ant-academy.md:24-24	table-row	| **Authentication** | Clerk (`@anthropos.work` domain gate + org-membership gate) |
